atomic_number,symbol,name,atomic_mass,category,phase,group,period
1,H,Hydrogen,1.008,Nonmetal,Gas,1,1
2,He,Helium,4.0026,Noble gas,Gas,18,1
3,Li,Lithium,6.94,Alkali metal,Solid,1,2
4,Be,Beryllium,9.0122,Alkaline earth metal,Solid,2,2
5,B,Boron,10.81,Metalloid,Solid,13,2
6,C,Carbon,12.011,Nonmetal,Solid,14,2
7,N,Nitrogen,14.007,Nonmetal,Gas,15,2
8,O,Oxygen,15.999,Nonmetal,Gas,16,2
9,F,Fluorine,18.998,Halogen,Gas,17,2
10,Ne,Neon,20.180,Noble gas,Gas,18,2
11,Na,Sodium,22.990,Alkali metal,Solid,1,3
12,Mg,Magnesium,24.305,Alkaline earth metal,Solid,2,3
13,Al,Aluminium,26.982,Post-transition metal,Solid,13,3
14,Si,Silicon,28.085,Metalloid,Solid,14,3
15,P,Phosphorus,30.974,Nonmetal,Solid,15,3
16,S,Sulfur,32.06,Nonmetal,Solid,16,3
17,Cl,Chlorine,35.45,Halogen,Gas,17,3
18,Ar,Argon,39.948,Noble gas,Gas,18,3
19,K,Potassium,39.098,Alkali metal,Solid,1,4
20,Ca,Calcium,40.078,Alkaline earth metal,Solid,2,4
21,Sc,Scandium,44.956,Transition metal,Solid,3,4
22,Ti,Titanium,47.867,Transition metal,Solid,4,4
23,V,Vanadium,50.942,Transition metal,Solid,5,4
24,Cr,Chromium,51.996,Transition metal,Solid,6,4
25,Mn,Manganese,54.938,Transition metal,Solid,7,4
26,Fe,Iron,55.845,Transition metal,Solid,8,4
27,Co,Cobalt,58.933,Transition metal,Solid,9,4
28,Ni,Nickel,58.693,Transition metal,Solid,10,4
29,Cu,Copper,63.546,Transition metal,Solid,11,4
30,Zn,Zinc,65.38,Transition metal,Solid,12,4
31,Ga,Gallium,69.723,Post-transition metal,Solid,13,4
32,Ge,Germanium,72.630,Metalloid,Solid,14,4
33,As,Arsenic,74.922,Metalloid,Solid,15,4
34,Se,Selenium,78.971,Nonmetal,Solid,16,4
35,Br,Bromine,79.904,Halogen,Liquid,17,4
36,Kr,Krypton,83.798,Noble gas,Gas,18,4
37,Rb,Rubidium,85.468,Alkali metal,Solid,1,5
38,Sr,Strontium,87.62,Alkaline earth metal,Solid,2,5
39,Y,Yttrium,88.906,Transition metal,Solid,3,5
40,Zr,Zirconium,91.224,Transition metal,Solid,4,5
41,Nb,Niobium,92.906,Transition metal,Solid,5,5
42,Mo,Molybdenum,95.95,Transition metal,Solid,6,5
43,Tc,Technetium,98,Transition metal,Solid,7,5
44,Ru,Ruthenium,101.07,Transition metal,Solid,8,5
45,Rh,Rhodium,102.91,Transition metal,Solid,9,5
46,Pd,Palladium,106.42,Transition metal,Solid,10,5
47,Ag,Silver,107.87,Transition metal,Solid,11,5
48,Cd,Cadmium,112.41,Transition metal,Solid,12,5
49,In,Indium,114.82,Post-transition metal,Solid,13,5
50,Sn,Tin,118.71,Post-transition metal,Solid,14,5
